Duration (in seconds),ResponseId,UserLanguage,Age,Gender,Education,Country-Birth,Race,Race_4_TEXT,Country-Residence,Native English,Other languages,Other languages 2
3675,R_vvLGHmH0WSipfxv,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese",
878,R_28FB5rOPMolvKsp,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1061,R_1M3yPUY0uZ0ebxW,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1506,R_2S2Yw2sbf0ve4W0,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
820,R_Asw0NqPhU2w5Cfv,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
542,R_XKXxU2HaHriRGRr,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Japanese,Thai",-
471,R_DnNG4TfP9pvtLcB,EN,23,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
1874,R_3HNftzC45wGecKg,EN,24,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
1145,R_12o5mke2ahCCeQW,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
939,R_XYzPMa47d5PL7ix,EN,25,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
468,R_1JEAA1GmTjT4FpE,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
805,R_2CTawVI5PFb3KVH,EN,20,Male,GCE 'A' Levels,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
822,R_3JxVNv2uDPWUDXG,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
545,R_12xzIzosoMXshj5,EN,25,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
545,R_TcL6Z3PdHf46gUN,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
504,R_1C7pbmnetKCMr68,EN,22,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
452,R_1GHVTYzPhGVkfni,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
2150,R_3EQ1hmXfoMlQu96,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
762,R_3nI5tN2CbD9pVa5,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
450,R_cC58e720P4n8X0l,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
988,R_20ZM4GtlmhvgA24,EN,25,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean,Thai",
698,R_20U4OVUsIftpusG,EN,22,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
927,R_2VgnWtFkR1xZLyV,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
665,R_1FaLaC6X9ZLvtdh,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
643,R_XzTMKhsFb06wRgt,EN,24,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1011,R_xAB0YG7v65TLJPb,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1676,R_5utcqKX4D0S6yRz,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
613,R_Abd0BDltZZLlFqp,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
461,R_STyVovZLDPJMX5v,EN,21,Female,GCE 'A' Levels,China,Chinese,,Singapore,No,Chinese,
946,R_eL6cV67xsMYbn8Z,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
410,R_WkcSQuTqcftMrrb,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
10813,R_pQPlpTHHgqnX0HL,EN,20,Male,GCE 'A' Levels,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
553,R_1MLFfik4pGKObFw,EN,20,Male,GCE 'A' Levels,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
404,R_2DTw2CXxqJQeyEp,EN,20,Male,GCE 'A' Levels,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
1432,R_aWvWa2WIsL4SlXz,EN,22,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
792,R_3MEcRDreWRHiPxi,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
589,R_2QPwpgnIJVv9dbl,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
539,R_23gDsIKLBXHq8mo,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
489,R_11X8s8MtYIze7Mu,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,French,Korean",
967,R_3PG1R3bYrxXFFGJ,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,German",
556,R_1XEFpJKqqWJZNmN,EN,24,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Malay,French,Japanese",
712,R_1etyGurK9wDpD7X,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
873,R_1LewgP2PfqCFXG7,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
35058,R_1N4ANc2ECw1YaF6,EN,20,Male,GCE 'A' Levels,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
510,R_2S8ZmOqcF8EyTkl,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
802,R_3fvmSgtno4xWA9w,EN,20,Male,GCE 'A' Levels,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
1414,R_33lnPpIGSnxNwHt,EN,24,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
844,R_3PnSJa7Pk3y6RZW,EN,25,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
966,R_A1CtoblOuCTSrmN,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
599,R_3iWLQm2eytnYmzL,EN,23,Male,GCE 'A' Levels,Singapore,Malay,,Singapore,Yes,"Malay,Arabic,Bahasa Indonesia",
31948,R_2zexCYSNlHFBPjO,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
2075,R_3HH9D2DhqUuHidf,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1328,R_1Us3UtH59jwqMSd,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1035,R_25zG6HPm4Y157GZ,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
797,R_2ZJObHvdyXEnB8h,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
15756,R_2y4t0yCMTcJl8Xr,EN,21,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
969,R_3m2nxyHIloDLxn2,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
737,R_2rVObYCGxS0lIpB,EN,23,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
13461,R_UzquXYQQi5CpOWB,EN,22,Female,GCE 'A' Levels,China,Chinese,,Singapore,Yes,Chinese,
574,R_3Ofsrv6KoYipR1I,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1118,R_szKZACSAM3r4IU1,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1245,R_3MKfEQkYSNzZkIr,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
863,R_OBjAmOt1CQSSunT,EN,23,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1339,R_1BWq20HGFMmZMxk,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1054,R_22Qzw1X2VVofkhS,EN,21,Female,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
2035,R_1OxEE29UVXqMgTW,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
535,R_2CZj1csMIx4LVYi,EN,22,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean,Other",Tagalog
435,R_3R7LiTFc7V04Vc4,EN,23,Male,Polytechnic Diploma,Singapore,Chinese,,Singapore,Yes,Chinese,
351,R_2aV6cb6ro43ygSu,EN,23,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
780,R_sG5aSVM6J9Eib4Z,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Spanish",
525,R_2dPWvNYuTEzLadL,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
935,R_1IxXpg02MOCn87e,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1377,R_SI6TO1v1FO87sSB,EN,24,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,No,Chinese,
491,R_XIbVJPDZE8dIk0N,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
837,R_3MxI9pnruloC4ir,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1799,R_6oo3sc0IpESpCNz,EN,25,Male,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Spanish,
796,R_8erHwbFEVCKeBZD,EN,21,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
533,R_T6IpIFVaQVeS9dn,EN,21,Female,GCE 'N'/'O' Levels,India,Indian,,Singapore,Yes,Tamil,
525,R_1omTwKxpNmbCvcp,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,United States of America,Yes,"Chinese,Korean",
535,R_ALnOkVzemo3dqUN,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Spanish,Japanese",
4758,R_2y77medv7U2sFpT,EN,21,Female,Bachelors Degree,Malaysia,Chinese,,Singapore,Yes,"Chinese,Malay",
530,R_3EbwD0D9aIgZQNa,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
899,R_10T2ohKkkQPhYcL,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
997,R_xAaYfzkJJj47zix,EN,23,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1214,R_VQn7jKlmdnKWFGN,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
624,R_3M4K1KWbEiNAQeK,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,German",
753,R_2sRLp0AYyEUtDL8,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1514,R_1OlDbLwob1b6XXz,EN,23,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
6189,R_3W1UaQEQh6kiMXT,EN,21,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
1038,R_2zINldGbWQIb5xI,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,"Chinese,Bahasa Indonesia",
1125,R_2CHAz2t3CxqIJDH,EN,22,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
590,R_tFMYCUM12mWi5W1,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
2823,R_3lXK4Y8QrdzOAtQ,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
339,R_247TTsblmD9uR91,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1011,R_1C2S3cXm7NwDJoG,EN,23,Male,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1727,R_3CT5xWrJJ9YZFi1,EN,22,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
1658,R_1KwZeWZdaykz3Ev,EN,22,Female,Bachelors Degree,China,Chinese,,Singapore,Yes,Chinese,
777,R_2vZeTvlp0p0K3In,EN,23,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,"Chinese,Korean",
623,R_PHRGR4hAaTYlqhP,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
536,R_2xV5RkiMu9fdT1c,EN,19,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,Yes,Chinese,
5920,R_bjvfUUHpF4CAaMF,EN,25,Female,Bachelors Degree,Singapore,Chinese,,Singapore,Yes,Chinese,
755,R_21oev4ZIhPdeMkc,EN,20,Female,GCE 'A' Levels,Singapore,Chinese,,Singapore,No,Chinese,
